Property,Date,Start,End,Duration Min,Time Band,Activity Type,Topic,Location,Energy,Focus,Quality,Distractions,Deep Work Score,Notes,Deep Work Band,Daily Review
,"December 9, 2025","December 9, 2025 12:18 PM (GMT+9)","December 9, 2025 12:44 PM (GMT+9)",26,昼,インプット,Webを支える技術,職場,3,3,3,眠気,3,mdファイル化と質問問題とプロジェクトの質問問題を作成した。やっぱり眠いし、実践型ではないのでいまいちブースとか館内,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 8, 2025","December 8, 2025 8:45 PM (GMT+9)","December 8, 2025 9:10 PM (GMT+9)",25,夜,インプット,Webを支える技術,自宅,3,3,3,,3,講座だけでコードを書くカリキュラムではないので流し読みになっている,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 8, 2025","December 8, 2025 5:15 PM (GMT+9)","December 8, 2025 5:41 PM (GMT+9)",26,夕方,インプット,Webを支える技術,帰宅,4,4,3,,3.7,カリキュラムの内容に対して疑問点を考える。これは集中力がなくてもできるが学習への効果が高い,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 8, 2025","December 8, 2025 12:10 PM (GMT+9)","December 8, 2025 12:40 PM (GMT+9)",30,昼,インプット,,職場,4,3,2,眠気,3,コーヒーを朝の1杯でリセットスタートしたから？眠気があってカリキュラムは流し見,,12/8 (https://www.notion.so/12-8-2c3d5c5438fd80768a8bcdaae2bb99d2?pvs=21)
,"December 11, 2025","December 11, 2025 8:10 AM (GMT+9)","December 11, 2025 10:40 AM (GMT+9)",150,朝,ダラダラ,,,1,0,0,"Netflix, 眠気",0.3,カフェイン断ちをしていて学習のスイッチが入らない。昨日夕勤で帰宅して夕食してベッドでnetflixで寝落ち。起きた時もいつもより1時間遅く、午前の時間をnetflix,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 10:46 AM (GMT+9)","December 11, 2025 11:14 AM (GMT+9)",28,朝,学習計画,,,3,4,3,,3.3,1日の計画を立てる。この作業を行ったことで午前に記事作成、午後にカリキュラム（web）と、負荷のかかるタスクに優先順位をつけて計画を考えることができた,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 11:14 AM (GMT+9)","December 11, 2025 12:02 PM (GMT+9)",48,昼,技術記事作成,,,4,3,3,,3.3,記事作成をスタートすることができた。notionでの作成を今月は続けることにした。図解の方法を考えるのに余計な時間を使ってしまった。先に記事を執筆して別日に探すようにしたらよかった。,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 2:39 PM (GMT+9)","December 11, 2025 3:38 PM (GMT+9)",59,夕方,インプット,Webを支える技術,自宅,4,4,2,,3.3,webのデータベースに関してはさらっと読み込み。RailsのアクティブRecordについては疑問を作りながら作成,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 3:56 PM (GMT+9)","December 11, 2025 4:57 PM (GMT+9)",61,夕方,"インプット, 実装",Rails入門②,自宅,4,5,4,,4.3,座学よりもコマンドや実物を操作しながらの方が集中できた,夕方,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
,"December 11, 2025","December 11, 2025 8:00 PM (GMT+9)","December 11, 2025 8:26 PM (GMT+9)",26,夜,技術記事作成,,,3,4,4,,3.7,夕食後にサボってしまっても良いかという気持ちがあったが、LINE返信行った後にそのまま行うとできた。前に簡単な作業を追加すると夕食後はその流れでできるかも,,12/11 (https://www.notion.so/12-11-2c3d5c5438fd81b18fcae7a42b970e4e?pvs=21)
